concept,tradition,n_now,home_n,home_top,gold_convicted
permutation_of_letters,western_esoteric,21,26,jewish_mysticism:26,False
divine_providence,native_american,21,514,"neoplatonism:99, jewish_mysticism:86, greek_mystery:79",False
pneumatic_elect,platonism,20,228,"gnosticism:36, christian_mysticism:31, hermeticism:31",False
funerary_navigation,finnic,20,417,"egyptian:367, greek_mystery:22, zoroastrianism:7",False
love_of_neighbour,finnic,19,90,"taoism:17, greek_mystery:12, zoroastrianism:10",False
ritual_fire,western_esoteric,19,183,"greek_mystery:97, egyptian:40, zoroastrianism:24",False
prayer,mandaean,19,437,"greek_mystery:116, zoroastrianism:104, egyptian:100",False
correspondence,finnic,19,487,"neoplatonism:105, christian_mysticism:85, western_esoteric:67",False
hidden_sayings,finnic,18,496,"jewish_mysticism:78, greek_mystery:75, gnosticism:64",False
mystical_union,hinduism,18,731,"neoplatonism:196, christian_mysticism:106, egyptian:98",False
fasting_and_prayer,native_american,18,85,"greek_mystery:29, zoroastrianism:15, christian_mysticism:10",False
anthropomorphism,native_american,17,755,"egyptian:281, greek_mystery:174, jewish_mysticism:53",False
emanation_hierarchy,platonism,17,842,"neoplatonism:545, greek_mystery:76, christian_mysticism:41",False
renunciation_of_wealth,finnic,16,158,"taoism:55, greek_mystery:22, gnosticism:16",False
self_examination,buddhism,16,131,"christian_mysticism:23, egyptian:19, greek_mystery:14",False
covenant,celtic,16,102,"zoroastrianism:46, jewish_mysticism:22, christian_mysticism:15",False
return_to_source,mandaean,15,697,"neoplatonism:222, christian_mysticism:102, taoism:75",False
love_of_neighbour,native_american,15,90,"taoism:17, greek_mystery:12, zoroastrianism:10",False
sacred_names,mandaean,15,522,"egyptian:233, greek_mystery:111, jewish_mysticism:62",False
spiritual_ascent,mandaean,15,755,"neoplatonism:211, egyptian:147, western_esoteric:83",False
sacred_names,celtic,14,522,"egyptian:233, greek_mystery:111, jewish_mysticism:62",False
covenant,finnic,14,102,"zoroastrianism:46, jewish_mysticism:22, christian_mysticism:15",False
divine_providence,hinduism,14,514,"neoplatonism:99, jewish_mysticism:86, greek_mystery:79",False
forbidden_knowledge,finnic,14,43,"jewish_mysticism:16, christian_mysticism:10, greek_mystery:7",False
renunciation_of_wealth,celtic,13,158,"taoism:55, greek_mystery:22, gnosticism:16",False
ritual_fire,native_american,13,183,"greek_mystery:97, egyptian:40, zoroastrianism:24",False
funerary_navigation,western_esoteric,13,417,"egyptian:367, greek_mystery:22, zoroastrianism:7",False
correspondence,native_american,13,487,"neoplatonism:105, christian_mysticism:85, western_esoteric:67",False
cosmic_sympathy,native_american,13,189,"neoplatonism:66, greek_mystery:32, christian_mysticism:24",False
hidden_sayings,norse,12,496,"jewish_mysticism:78, greek_mystery:75, gnosticism:64",False
funerary_navigation,platonism,12,417,"egyptian:367, greek_mystery:22, zoroastrianism:7",False
psychopomp_journey,native_american,12,332,"egyptian:261, greek_mystery:21, zoroastrianism:16",False
cosmic_sympathy,celtic,12,189,"neoplatonism:66, greek_mystery:32, christian_mysticism:24",False
mechanical_humanity,platonism,12,166,"western_esoteric:139, christian_mysticism:9, neoplatonism:5",False
sacred_names,norse,11,522,"egyptian:233, greek_mystery:111, jewish_mysticism:62",False
logos,platonism,11,551,"neoplatonism:287, christian_mysticism:91, hermeticism:39",False
psychopomp_journey,platonism,11,332,"egyptian:261, greek_mystery:21, zoroastrianism:16",False
divine_intoxication,neoplatonism,11,70,"renaissance_hermeticism:27, western_esoteric:12, greek_mystery:10",False
inner_light,buddhism,10,478,"christian_mysticism:112, neoplatonism:95, renaissance_hermeticism:56",False
renunciation_of_wealth,hinduism,10,158,"taoism:55, greek_mystery:22, gnosticism:16",False
paradox_as_teaching,celtic,10,852,"taoism:240, western_esoteric:125, neoplatonism:118",False
apophatic_theology,hinduism,10,659,"neoplatonism:265, taoism:120, western_esoteric:73",False
numerical_mysticism,celtic,10,351,"jewish_mysticism:75, egyptian:56, neoplatonism:47",False
numerical_mysticism,native_american,10,351,"jewish_mysticism:75, egyptian:56, neoplatonism:47",False
covenant,native_american,10,102,"zoroastrianism:46, jewish_mysticism:22, christian_mysticism:15",False
opposites_transcended,hinduism,9,578,"taoism:154, neoplatonism:145, western_esoteric:77",False
rejection_of_hypocrisy,native_american,9,251,"taoism:76, christian_mysticism:32, zoroastrianism:30",False
self_examination,finnic,9,131,"christian_mysticism:23, egyptian:19, greek_mystery:14",False
infinite_cosmos,gnosticism,9,118,"western_esoteric:61, renaissance_hermeticism:29, taoism:8",False
return_to_source,finnic,8,697,"neoplatonism:222, christian_mysticism:102, taoism:75",False
divine_light,hinduism,8,638,"egyptian:112, christian_mysticism:107, neoplatonism:97",False
spiritual_ascent,finnic,8,755,"neoplatonism:211, egyptian:147, western_esoteric:83",False
funerary_navigation,buddhism,8,417,"egyptian:367, greek_mystery:22, zoroastrianism:7",False
divine_providence,norse,8,514,"neoplatonism:99, jewish_mysticism:86, greek_mystery:79",False
correspondence,celtic,8,487,"neoplatonism:105, christian_mysticism:85, western_esoteric:67",False
inner_light,hinduism,7,478,"christian_mysticism:112, neoplatonism:95, renaissance_hermeticism:56",False
renunciation_of_wealth,native_american,7,158,"taoism:55, greek_mystery:22, gnosticism:16",False
paradox_as_teaching,norse,7,852,"taoism:240, western_esoteric:125, neoplatonism:118",False
sacred_names,native_american,7,522,"egyptian:233, greek_mystery:111, jewish_mysticism:62",False
